"MacroTrends Data Download"
"Silver Prices - 100 Year Historical Chart"
"Note: Real datasets are adjusted for inflation using the headline Consumer Price Index (CPI) with the current month as the base."

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,real,nominal
1962-05-01,10.55,1.090
1962-06-01,10.55,1.090
1962-07-01,10.52,1.090
1962-08-01,10.52,1.090
1962-09-01,10.48,1.090
1962-10-01,10.48,1.090
1962-11-01,10.48,1.090
1962-12-01,10.48,1.090
1963-01-01,12.40,1.290
1963-02-01,12.40,1.290
1963-03-01,12.36,1.290
1963-04-01,12.36,1.290
1963-05-01,12.36,1.290
1963-06-01,12.37,1.295
1963-07-01,12.34,1.296
1963-08-01,12.33,1.295
1963-09-01,12.29,1.291
1963-10-01,12.28,1.294
1963-11-01,12.28,1.294
1963-12-01,12.22,1.292
1964-01-01,12.22,1.292
1964-02-01,12.24,1.294
1964-03-01,12.33,1.303
1964-04-01,12.23,1.293
1964-05-01,12.22,1.292
1964-06-01,12.18,1.292
1964-07-01,12.16,1.294
1964-08-01,12.25,1.299
1964-09-01,12.30,1.309
1964-10-01,12.22,1.300
1964-11-01,12.16,1.298
1964-12-01,12.30,1.313
1965-01-01,12.20,1.302
1965-02-01,12.19,1.301
1965-03-01,12.10,1.296
1965-04-01,12.10,1.300
1965-05-01,12.03,1.292
1965-06-01,11.91,1.288
1965-07-01,11.93,1.290
1965-08-01,11.97,1.294
1965-09-01,11.98,1.295
1965-10-01,11.92,1.293
1965-11-01,11.93,1.294
1965-12-01,11.92,1.297
1966-01-01,11.90,1.295
1966-02-01,11.81,1.293
1966-03-01,11.75,1.290
1966-04-01,11.72,1.295
1966-05-01,11.67,1.290
1966-06-01,11.68,1.295
1966-07-01,11.70,1.301
1966-08-01,11.69,1.308
1966-09-01,11.68,1.307
1966-10-01,11.51,1.296
1966-11-01,11.51,1.296
1966-12-01,11.59,1.305
1967-01-01,11.49,1.293
1967-02-01,11.55,1.300
